,sp1,sp2,sp3,sp4
sp1,-1,-1.09,-1.52,0 
sp2,0,-0.72,-0.3168,-0.9792 
sp3,-3.5649,0,-1.53,-0.7191
sp4,-1.5367,-0.6477,-0.4445,-1.27



